"respondente_id","idade","faixa_idade","genero","cor_raca_etnia","pcd","uf_atual","regiao_atual","nivel_ensino","setor_atual","num_funcionarios","atua_como_gestor","cargo_atual","senioridade","faixa_salarial","faixa_salarial_valida","modalidade_atual","servico_cloud_preferido","ai_prioridade","ano_pesquisa"
"bd792a686jnmmd3bucyn39fbd792amft","28","25-29","Masculino","Parda","Não","MG","Sudeste","Prefiro não informar","Varejo","Acima de 3.000","0","Analista de Dados/Data Analyst","Júnior","de R$ 4.001/mês a R$ 6.000/mês","true","Modelo 100% remoto","Google Cloud (GCP)",,"2023"
"vz33bp3l0jdlvzzbikx2hreiuzcr8fy3","33","30-34","Feminino","Branca","Não","RJ","Sudeste","Pós-graduação","Área da Saúde","de 501 a 1.000","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo 100% remoto","Amazon Web Services (AWS)",,"2023"
"8wkieyd66umwj8wkiwz7s16hyuf73yr2","32","30-34","Feminino","Branca","Não","PR","Sul","Pós-graduação","Varejo","Acima de 3.000","1",,,"de R$ 16.001/mês a R$ 20.000/mês","true","Modelo 100% remoto",,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","2023"
"86yhgd6qrx6f1sdumkuy86yhgdqucok9","44","40-44","Masculino","Parda","Não","SP","Sudeste","Pós-graduação","Tecnologia/Fábrica de Software","Acima de 3.000","0","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Pleno","de R$ 6.001/mês a R$ 8.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Amazon Web Services (AWS)",,"2023"
"vjgf2fh0568epwe2vjg6waqnmpubtl8i","29","25-29","Masculino","Branca","Não","SP","Sudeste","Pós-graduação","Finanças ou Bancos","Acima de 3.000","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Pleno","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo 100% remoto","Amazon Web Services (AWS)",,"2023"
"q2lx77nel0pxt8vtmq2lx774sg4smrtv","35","35-39","Masculino","Branca","Não","SC","Sul","Mestrado","Indústria","Acima de 3.000","0","Analista de Dados/Data Analyst","Pleno","de R$ 12.001/mês a R$ 16.000/mês","true","Modelo 100% presencial","Amazon Web Services (AWS)",,"2023"
"0es5j6zi3eta53c3alanv0es5j6zm7bp","62","55+","Masculino","Parda","Não","SP","Sudeste","Não tenho graduação formal",,,,,,,,,,,"2023"
"gd4vuehzt5ya91agd4ve7ldfnn02fcye","38","35-39","Masculino","Branca","Não","PR","Sul","Não tenho graduação formal","Outra Opção","Acima de 3.000","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 12.001/mês a R$ 16.000/mês","true","Modelo 100% remoto","Google Cloud (GCP)",,"2023"
"41ni4uwyzju8s1v47i41ni4q2gvxeibe","36","35-39","Masculino","Branca","Não","SP","Sudeste","Mestrado","Indústria","Acima de 3.000","0","Outra Opção","Sênior","de R$ 12.001/mês a R$ 16.000/mês","true","Modelo 100% presencial","Azure (Microsoft)",,"2023"
"uf73wm0av5rj4y5jcn4uf73wmirg84sz","31","30-34","Masculino","Branca","Não","RS","Sul","Estudante de Graduação","Varejo","de 11 a 50","1",,,"de R$ 4.001/mês a R$ 6.000/mês","true","Modelo 100% presencial",,"Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","2023"
"8kpjocw273rhzshxe58l8kpjobb2c7bj","22","22-24","Masculino","Branca","Não","SP","Sudeste","Estudante de Graduação","Finanças ou Bancos","Acima de 3.000","0","Analista de Negócios/Business Analyst","Júnior","de R$ 4.001/mês a R$ 6.000/mês","true","Modelo 100% presencial","Amazon Web Services (AWS)",,"2023"
"3ubhs3h0aiq314wr13ubhs1ecsenctqk","29","25-29","Masculino","Parda","Não","MG","Sudeste","Pós-graduação","Indústria","Acima de 3.000","0","Analista de Dados/Data Analyst","Sênior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Azure (Microsoft)",,"2023"
"0jca0nbvqe3ufht9p0jca0dwcapmm8fm","48","45-49","Masculino","Branca","Não","SP","Sudeste","Pós-graduação","Setor Automotivo","Acima de 3.000","0","Analista de Suporte/Analista Técnico","Sênior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo 100% presencial","Amazon Web Services (AWS)",,"2023"
"v6lpdj43a1hkk43c8v6lpd9r6cjajs6f","29","25-29","Masculino","Branca","Não","SC","Sul","Estudante de Graduação","Tecnologia/Fábrica de Software","de 11 a 50","0","Analista de Dados/Data Analyst","Júnior","de R$ 4.001/mês a R$ 6.000/mês","true","Modelo 100% presencial","Azure (Microsoft)",,"2023"
"it5pyz1i9xpk9jraait5pyzquxlyuw0d","25","25-29","Masculino","Branca","Não","SP","Sudeste","Pós-graduação","Educação","de 501 a 1.000","0","Analista de BI/BI Analyst","Pleno","de R$ 6.001/mês a R$ 8.000/mês","true","Modelo 100% remoto","Azure (Microsoft)",,"2023"
"9movpocfd5c0q9movpos3tdntk0l4mbx","26","25-29","Masculino","Branca","Não","PE","Nordeste","Não tenho graduação formal","Área de Consultoria","de 11 a 50","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 16.001/mês a R$ 20.000/mês","true","Modelo 100% remoto","Azure (Microsoft)",,"2023"
"xi414vom14yy936uxi414damq2f84h33","35","35-39","Masculino","Branca","Não","RN","Nordeste","Mestrado","Educação","Acima de 3.000","0","Outra Opção","Júnior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo 100% presencial","Google Cloud (GCP)",,"2023"
"orrile58u1oxitsdhorri0w5hls55cw2","30","30-34","Masculino","Branca","Não","AP","Norte","Mestrado","Telecomunicação","Acima de 3.000","0","Cientista de Dados/Data Scientist","Pleno","de R$ 6.001/mês a R$ 8.000/mês","true","Modelo 100% remoto","Azure (Microsoft)",,"2023"
"cowvcrnkplcfw5ncocckenbnn7jw5cwj","55","55+","Masculino","Branca","Não","SP","Sudeste","Graduação/Bacharelado","Área da Saúde","Acima de 3.000","0","Outra Opção","Sênior","de R$ 6.001/mês a R$ 8.000/mês","true","Modelo 100% presencial","nao sei",,"2023"
"b6mpeci333zicxpvb6mpbfrvfacmb9uq","25","25-29","Feminino","Parda","Não","RJ","Sudeste","Graduação/Bacharelado","Entretenimento ou Esportes","Acima de 3.000","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 12.001/mês a R$ 16.000/mês","true","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","Google Cloud (GCP)",,"2023"
"4wdmt9zl6szuxrii4wdmxrtsjtbmzmgn","22","22-24","Masculino","Branca","Não","PR","Sul","Graduação/Bacharelado","Tecnologia/Fábrica de Software","Acima de 3.000","0","Analista de BI/BI Analyst","Júnior","de R$ 1.001/mês a R$ 2.000/mês","true","Modelo 100% remoto","Azure (Microsoft)",,"2023"
"tkdck2fadax1jk9iukgntkdckntlq4e3","27","25-29","Feminino","Branca","Não","GO","Centro-oeste","Graduação/Bacharelado","Outra Opção","Acima de 3.000","0","Analista de Inteligência de Mercado/Market Intelligence","Pleno","de R$ 4.001/mês a R$ 6.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Azure (Microsoft)",,"2023"
"cktumpjr25gimbbcktum64nad1bjuqd3","23","22-24","Masculino","Branca","Não","SP","Sudeste","Graduação/Bacharelado","Outra Opção","de 101 a 500","0","Cientista de Dados/Data Scientist","Júnior","de R$ 3.001/mês a R$ 4.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Amazon Web Services (AWS)",,"2023"
"hrsb1orjj0bus0cvrbhrsbjzm0wfuvxb","38","35-39","Masculino","Branca","Não","SP","Sudeste","Pós-graduação","Finanças ou Bancos","Acima de 3.000","1",,,"de R$ 16.001/mês a R$ 20.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial",,"Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","2023"
"2h381e1dm1e9qra2ilb2h381e1i4p8um","24","22-24","Masculino","Branca","Não","SP","Sudeste","Graduação/Bacharelado","Área de Consultoria","de 501 a 1.000","0","Analista de BI/BI Analyst","Pleno","de R$ 6.001/mês a R$ 8.000/mês","true","Modelo 100% remoto","Azure (Microsoft)",,"2023"
"8xcbvq94cwbu9esq82d8xcp7kf1z3ohl","37","35-39","Masculino","Branca","Não","SP","Sudeste","Pós-graduação","Indústria","Acima de 3.000","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo 100% remoto","Google Cloud (GCP)",,"2023"
"nphavy6j5exw604x2panphaf7jl0wnd3","28","25-29","Masculino","Parda","Não","PE","Nordeste","Mestrado",,,,,,,,,,,"2023"
"3oad733jfin3xe5w3oabvl835eosyktq","43","40-44","Masculino","Parda","Não","SP","Sudeste","Graduação/Bacharelado","Área de Consultoria","de 101 a 500","1",,,"de R$ 25.001/mês a R$ 30.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial",,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","2023"
"jyojb9y83kxi6rjyojbthmzgc7260o1f","28","25-29","Masculino","Branca","Não","SC","Sul","Pós-graduação","Setor de Energia","de 1.001 a 3.000","0","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","de R$ 4.001/mês a R$ 6.000/mês","true","Modelo 100% remoto","Amazon Web Services (AWS)",,"2023"
"rqud28u1pu1ohrqud2n9gxq42wg5og77","55","55+","Feminino","Branca","Não","SP","Sudeste","Pós-graduação","Tecnologia/Fábrica de Software","Acima de 3.000","0","Analista de Negócios/Business Analyst","Sênior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo 100% remoto","Amazon Web Services (AWS)",,"2023"
"0q472yy1a4ua38hg0q42byo044ngq1sb","29","25-29","Feminino","Branca","Não","PR","Sul","Mestrado","Tecnologia/Fábrica de Software","de 1 a 5","1",,,"de R$ 8.001/mês a R$ 12.000/mês","true","Modelo 100% remoto",,"Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","2023"
"lv7z6voerhtdds35k1tivlv7z6vxi03k","26","25-29","Masculino","Branca","Não","PR","Sul","Pós-graduação","Finanças ou Bancos","Acima de 3.000","0","Cientista de Dados/Data Scientist","Júnior","de R$ 6.001/mês a R$ 8.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Google Cloud (GCP)",,"2023"
"gtymjyu4voj7at83kejgtymjayxuahrp","31","30-34","Masculino","Branca","Não","PR","Sul","Pós-graduação","Área de Consultoria","Acima de 3.000","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 12.001/mês a R$ 16.000/mês","true","Modelo 100% remoto","Amazon Web Services (AWS)",,"2023"
"7jnlne3xk9mibt61dq7jnln4s7brg9dn","25","25-29","Feminino","Branca","Não","BA","Nordeste","Graduação/Bacharelado","Finanças ou Bancos","de 101 a 500","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Pleno","de R$ 4.001/mês a R$ 6.000/mês","true","Modelo 100% remoto","Azure (Microsoft)",,"2023"
"eoxaxd7ao7n5u37hy0eox90238z18iwy","27","25-29","Masculino","Branca","Não","MG","Sudeste","Estudante de Graduação","Tecnologia/Fábrica de Software","de 101 a 500","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 20.001/mês a R$ 25.000/mês","true","Modelo 100% remoto","Azure (Microsoft)",,"2023"
"vyifqbbiwd5wg2ygntqvyifqbv8doi45","25","25-29","Feminino","Parda","Não","AL","Nordeste","Estudante de Graduação","Área de Consultoria","de 11 a 50","0","Desenvolvedor/ Engenheiro de Software/ Analista de Sistemas","Júnior","Menos de R$ 1.000/mês","true","Modelo 100% presencial","Amazon Web Services (AWS)",,"2023"
"hjkuz33ecg1fwj6sxhjkuz3df2s59kha","35","35-39","Masculino","Branca","Não","SP","Sudeste","Graduação/Bacharelado","Setor Imobiliário/ Construção Civil","Acima de 3.000","0","Outra Opção","Júnior","de R$ 2.001/mês a R$ 3.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Amazon Web Services (AWS)",,"2023"
"71kyufup2jtafiz1i71kyuao1dzty935","33","30-34","Masculino","Amarela","Não","SP","Sudeste","Graduação/Bacharelado","Varejo","de 101 a 500","1",,,"de R$ 16.001/mês a R$ 20.000/mês","true","Modelo 100% remoto",,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","2023"
"bhnvz6qczsevbhnph3b9ns01wxqytxcv","28","25-29","Masculino","Parda","Não","DF","Centro-oeste","Graduação/Bacharelado","Tecnologia/Fábrica de Software","de 51 a 100","0","Analista de Dados/Data Analyst","Júnior","de R$ 2.001/mês a R$ 3.000/mês","true","Modelo 100% presencial","Amazon Web Services (AWS)",,"2023"
"tbldpu83gabzmnktbld0l115oly78jk7","27","25-29","Masculino","Branca","Não","SP","Sudeste","Graduação/Bacharelado","Tecnologia/Fábrica de Software","de 101 a 500","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 25.001/mês a R$ 30.000/mês","true","Modelo 100% remoto","Amazon Web Services (AWS)",,"2023"
"txvc1867re1qj1xiobe1j5ttxvc1wu98","36","35-39","Masculino","Branca","Não","MG","Sudeste","Mestrado","Marketing","de 101 a 500","0","Analista de Negócios/Business Analyst","Sênior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","Google Cloud (GCP)",,"2023"
"ng8xoyyzr1c9jngbihtch6j1aobih0i6","26","25-29","Masculino","Branca","Não","SP","Sudeste","Graduação/Bacharelado","Outra Opção","de 101 a 500","1",,,"de R$ 16.001/mês a R$ 20.000/mês","true","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)",,"Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (iniciativas isoladas e pouco foco).","2023"
"vosy71cg2kdpzwc7c0r0x0m0vosy71cg","27","25-29","Masculino","Branca","Não","RJ","Sudeste","Estudante de Graduação","Outra Opção","Acima de 3.000","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Sênior","de R$ 12.001/mês a R$ 16.000/mês","true","Modelo 100% remoto","Google Cloud (GCP)",,"2023"
"ll7zcyuvm1jcjr1yjll7zc74ooqwhe1m","28","25-29","Masculino","Branca","Sim","MG","Sudeste","Pós-graduação",,,,,,,,,,,"2023"
"brgr1sazqlot7hbfcclbrgrpv242hcdy","26","25-29","Masculino","Branca","Não","PE","Nordeste","Graduação/Bacharelado","Finanças ou Bancos","de 1.001 a 3.000","0","Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect","Pleno","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo 100% remoto","Amazon Web Services (AWS)",,"2023"
"q8fqde81jegr4ls4q8fhwj6pox6veb1v","41","40-44","Masculino","Branca","Não","MG","Sudeste","Doutorado ou Phd","Área da Saúde","Acima de 3.000","0","Cientista de Dados/Data Scientist","Sênior","de R$ 16.001/mês a R$ 20.000/mês","true","Modelo 100% remoto","Amazon Web Services (AWS)",,"2023"
"ffrkl722zge698rzrjojmfdurkkffrkl","35","35-39","Masculino","Parda","Não","MS","Centro-oeste","Pós-graduação","Agronegócios","Acima de 3.000","0","Analista de Dados/Data Analyst","Sênior","de R$ 8.001/mês a R$ 12.000/mês","true","Modelo híbrido com dias fixos de trabalho presencial","Azure (Microsoft)",,"2023"
"7micxwxidr98f7mjl3u0urr5u3wehtua","26","25-29","Masculino","Branca","Não","SP","Sudeste","Estudante de Graduação","Outra Opção","de 1 a 5","1",,,"de R$ 2.001/mês a R$ 3.000/mês","true","Modelo 100% presencial",,"Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","2023"
