"respondente_id","categoria","item","ano_pesquisa"
"7jcegbbxpo7bof0h0qicodw947jcegbb","criterio_escolha","Aprendizado/referências na área","2023"
"s0377s1j5u5vevfph1wds0377zqy60c8","criterio_escolha","Remuneração/Salário","2023"
"s0377s1j5u5vevfph1wds0377zqy60c8","criterio_escolha","Benefícios","2023"
"s0377s1j5u5vevfph1wds0377zqy60c8","criterio_escolha","Aprendizado/referências na área","2023"
"i4jhtypx0nhc7cj1lwp18igi4jhtisok","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"i4jhtypx0nhc7cj1lwp18igi4jhtisok","criterio_escolha","Aprendizado/referências na área","2023"
"i4jhtypx0nhc7cj1lwp18igi4jhtisok","criterio_escolha","Plano de carreira","2023"
"0xqcwc3bly5khkbd0xqcd3nmpmgdu93o","criterio_escolha","Aprendizado/referências na área","2023"
"gjbe4h191tco67y7h273ggjbe4h19t2t","criterio_escolha","Maturidade em tecnologia/dados","2023"
"sljkn76suwzrcw0rsldsgfcq5hsbb1i4","criterio_escolha","Remuneração/Salário","2023"
"p5r17m5i8y754vogp5r17a5bz8q3x3hd","criterio_escolha","Remuneração/Salário","2023"
"p5r17m5i8y754vogp5r17a5bz8q3x3hd","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"p5r17m5i8y754vogp5r17a5bz8q3x3hd","criterio_escolha","Ambiente e clima de trabalho","2023"
"nqavi8uyuyf8offodvnqavi8ujga5mi4","criterio_escolha","Remuneração/Salário","2023"
"nqavi8uyuyf8offodvnqavi8ujga5mi4","criterio_escolha","Propósito do trabalho/empresa","2023"
"nqavi8uyuyf8offodvnqavi8ujga5mi4","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"34t0n7x3ixebn834t0nplj35ogxy4cvj","criterio_escolha","Remuneração/Salário","2023"
"nyaib8n7zozhz036q09snyaib8sgkhq3","criterio_escolha","Aprendizado/referências na área","2023"
"zml9rfxg36ejnfeg1dfc56zml9rf8rx1","criterio_escolha","Remuneração/Salário","2023"
"zml9rfxg36ejnfeg1dfc56zml9rf8rx1","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"zml9rfxg36ejnfeg1dfc56zml9rf8rx1","criterio_escolha","Plano de carreira","2023"
"9v2dqst51tth8j9v2laf3xqbrlgbfrwg","criterio_escolha","Remuneração/Salário","2023"
"9v2dqst51tth8j9v2laf3xqbrlgbfrwg","criterio_escolha","Flexibilidade de trabalho remoto","2023"
"9v2dqst51tth8j9v2laf3xqbrlgbfrwg","criterio_escolha","Ambiente e clima de trabalho","2023"
"vfe83lozgu78wg08yg9wcwjvfe83loi8","criterio_escolha","Remuneração/Salário","2023"
"vfe83lozgu78wg08yg9wcwjvfe83loi8","criterio_escolha","Benefícios","2023"
"vfe83lozgu78wg08yg9wcwjvfe83loi8","criterio_escolha","Flexibilidade de trabalho remoto","2023"
